Reference,Manufacturer,MPN,LCSC,DNP
C1,Nichicon,UCD1V221MNL1GS,C136294,
C2,Samsung Electro-Mechanics,CL21A225KBQNNNE,C377773,
C3,YAGEO,CC0603KRX7R9BB104,C14663,
C4,Samsung Electro-Mechanics,CL21A226MAQNNNE,C45783,
C5,Samsung Electro-Mechanics,CL21A226MAQNNNE,C45783,
C7,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,
C8,YAGEO,CC0603KRX7R9BB104,C14663,
C9,Samsung Electro-Mechanics,CL10A105KB8NNNC,C15849,
C10,Samsung Electro-Mechanics,CL10A106KP8NNNC,C19702,
C11,YAGEO,CC0603KRX7R9BB104,C14663,
C12,YAGEO,CC0603KRX7R9BB104,C14663,
C13,Samsung Electro-Mechanics,CL10A105KB8NNNC,C15849,
D1,MDD,SS34,C8678,
D2,ProTek Devices,PSM712-LF-T7,C32677,
D3,MDD,SS34,C8678,
D4,XINGLIGHT,XL-1608SYGC-06,C965805,
D5,Hongli Zhihui,KT-0603R,C2286,
D6,Nationstar,NCD0603Y1,C84268,
F1,JK,JK-mSMD010-60,C1884489,
F2,JK,JK-mSMD010-60,C1884489,
J1,Dorabo,DB128V-5.08-5P-GN-S,C2927513,
J2,Korean Hroparts Elec,TYPE-C-31-M-12,C165948,
L1,Changjiang Microelectronics,FNR6045S220MT,C168080,
Q1,Alpha & Omega Semiconductor,AO3400A,C20917,
R1,UNI-ROYAL,0603WAF1003T5E,C25803,
R2,UNI-ROYAL,0603WAF1502T5E,C22809,
R3,UNI-ROYAL,0603WAF1003T5E,C25803,
R4,UNI-ROYAL,0603WAF1332T5E,C25952,
R5,UNI-ROYAL,0603WAF1200T5E,C22787,yes
R6,UNI-ROYAL,0603WAF1001T5E,C21190,yes
R7,UNI-ROYAL,0603WAF1001T5E,C21190,yes
R8,UNI-ROYAL,0603WAF1002T5E,C25804,
R9,UNI-ROYAL,0603WAF1002T5E,C25804,
R10,UNI-ROYAL,0603WAF1002T5E,C25804,
R11,UNI-ROYAL,1206W4F270JT5E,C17946,
R12,UNI-ROYAL,0603WAF1000T5E,C22775,
R13,UNI-ROYAL,0603WAF1002T5E,C25804,
R14,UNI-ROYAL,0603WAF5101T5E,C23186,
R15,UNI-ROYAL,0603WAF5101T5E,C23186,
R19,UNI-ROYAL,0603WAF1002T5E,C25804,
R20,UNI-ROYAL,0603WAF1001T5E,C21190,
R21,UNI-ROYAL,0603WAF1002T5E,C25804,
R22,UNI-ROYAL,0603WAF1002T5E,C25804,
R23,UNI-ROYAL,0603WAF1501T5E,C22843,
R24,UNI-ROYAL,0603WAF3301T5E,C22978,
R25,UNI-ROYAL,0603WAF6801T5E,C23212,
R26,UNI-ROYAL,0603WAF1001T5E,C21190,
R27,UNI-ROYAL,0603WAF1001T5E,C21190,
SW1,C&K,PTS645SM43SMTR92LFS,C221880,
SW2,C&K,PTS645SM43SMTR92LFS,C221880,
SW3,C&K,PTS645SM43SMTR92LFS,C221880,
SW4,C&K,PTS645SM43SMTR92LFS,C221880,
U1,Espressif Systems,ESP32-C3-WROOM-02-N4,C2934560,
U2,Texas Instruments,TPS54202DDCR,C191884,
U3,Microne,ME6211C33M5G-N,C82942,
U4,Texas Instruments,THVD1400DR,C3235232,
